2026-06-06T16:45:38.361Z	INFO	livekit	server/main.go:210	starting in development mode
2026-06-06T16:45:38.362Z	INFO	livekit	routing/interfaces.go:180	using single-node routing
2026-06-06T16:45:38.366Z	INFO	livekit	service/server.go:265	starting LiveKit server	{"portHttp": 7880, "nodeID": "ND_qHuHvMePia4G", "nodeIP": "172.26.0.2", "version": "1.12.0", "rtc.portTCP": 7881, "rtc.portUDP": {"Start":7882,"End":0}}
2026-06-06T16:45:38.366Z	DEBUG	livekit	service/signal.go:119	starting relay signal server	{"topic": "ND_qHuHvMePia4G"}
2026-06-06T16:45:58.196Z	DEBUG	livekit	routing/signal.go:101	starting signal connection	{"room": "omni-room", "reqNodeID": "ND_qHuHvMePia4G", "participant": "omni-worker", "connID": "CO_TQkK52BCmoi5", "participantInit": {"Identity": "omni-worker", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "AutoSubscribeDataTrack": "not-set", "Client": {"sdk": "PYTHON", "version": "1.1.10", "protocol": 17, "os": "Ubuntu", "osVersion": "24.4.0", "deviceModel": "AS -4124GO-NART+", "clientProtocol": 1, "capabilities": ["CAP_PACKET_TRAILER"]}, "Grants": {"Identity": "omni-worker", "Kind": "", "KindDetails": [], "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "omni-room", "CanPublish": true, "CanSubscribe": true, "CanPublishData": true, "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "CanManageAgentSession": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "Observability": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": false, "ID": "", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "omni-room"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}, "startSession": {"roomName": "omni-room", "identity": "omni-worker", "connectionID": "CO_TQkK52BCmoi5", "autoSubscribe": true, "client": {"sdk": "PYTHON", "version": "1.1.10", "protocol": 17, "os": "Ubuntu", "osVersion": "24.4.0", "deviceModel": "AS -4124GO-NART+", "address": "127.0.0.1", "clientProtocol": 1, "capabilities": ["CAP_PACKET_TRAILER"]}, "name": "omni-worker", "grantsJson": "{\"identity\":\"omni-worker\",\"name\":\"omni-worker\",\"video\":{\"roomJoin\":true,\"room\":\"omni-room\",\"canPublish\":true,\"canSubscribe\":true,\"canPublishData\":true}}", "reconnectReason": "RR_UNKNOWN", "createRoom": {"name": "omni-room"}}}
2026-06-06T16:45:58.198Z	INFO	livekit	service/roommanager.go:418	starting RTC session	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "room": "omni-room", "nodeID": "ND_qHuHvMePia4G", "numParticipants": 0, "participantInit": {"Identity": "omni-worker", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "AutoSubscribeDataTrack": "not-set", "Client": {"sdk": "PYTHON", "version": "1.1.10", "protocol": 17, "os": "Ubuntu", "osVersion": "24.4.0", "deviceModel": "AS -4124GO-NART+", "clientProtocol": 1, "capabilities": ["CAP_PACKET_TRAILER"]}, "Grants": {"Identity": "omni-worker", "Kind": "", "KindDetails": [], "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "omni-room", "CanPublish": true, "CanSubscribe": true, "CanPublishData": true, "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "CanManageAgentSession": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "Observability": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": false, "ID": "", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "omni-room"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}}
2026-06-06T16:45:58.198Z	DEBUG	livekit	rtc/participant.go:3870	setup enabled codecs	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "publish": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "subscribe": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}], "disabled": {}}
2026-06-06T16:45:58.199Z	DEBUG	livekit.room	rtc/room.go:474	new participant joined	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participantID": "PA_wsxJ8PufS7cW", "participant": "omni-worker", "clientInfo": {"sdk": "PYTHON", "version": "1.1.10", "protocol": 17, "os": "Ubuntu", "osVersion": "24.4.0", "deviceModel": "AS -4124GO-NART+", "address": "127.0.0.1", "clientProtocol": 1, "capabilities": ["CAP_PACKET_TRAILER"]}, "options": {"AutoSubscribe":true,"AutoSubscribeDataTrack":false}, "numParticipants": 0}
2026-06-06T16:45:58.200Z	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "response": {"join": {"room": {"sid": "RM_rfAdT3WtDG6H", "name": "omni-room", "emptyTimeout": 300, "departureTimeout": 20, "creationTime": 1780764358, "creationTimeMs": 1780764358197, "turnPassword": "bTQULe6qQQTahM42q2PSweubaUttBW0TeUHphqjGU6RB", "enabledCodecs": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}]}, "participant": {"sid": "PA_wsxJ8PufS7cW", "identity": "omni-worker", "state": "JOINING", "joinedAt": 1780764358, "joinedAtMs": 1780764358198, "name": "<redacted>", "permission": {"canSubscribe": true, "canPublish": true, "canPublishData": true}, "kind": "STANDARD", "disconnectReason": "UNKNOWN_REASON", "clientProtocol": 1}, "serverVersion": "1.12.0", "iceServers": [{"urls": ["stun:global.stun.twilio.com:3478", "stun:stun.l.google.com:19302", "stun:stun1.l.google.com:19302"]}], "subscriberPrimary": true, "pingTimeout": 15, "pingInterval": 5, "serverInfo": {"edition": "Standard", "version": "1.12.0", "protocol": 17, "nodeID": "ND_qHuHvMePia4G", "agentProtocol": 1}, "sifTrailer": "RUZ0UUdPcXhoMmFuVEV3ZGxpalBNcVJMRGNzN1hMaU9sT0tEb3FrYUNhQg", "enabledPublishCodecs": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "fastPublish": true}}}
2026-06-06T16:45:58.201Z	DEBUG	livekit	rtc/participant.go:2143	updating participant state	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "state": "JOINED"}
2026-06-06T16:45:58.195Z	DEBUG	livekit	service/rtcservice.go:373	join request validated	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "joinDuration": "8.21983ms", "room": "omni-room", "roomID": "", "participant": "omni-worker", "participantID": "", "joinDuration": "0s", "participantInit": {"Identity": "omni-worker", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "AutoSubscribeDataTrack": "not-set", "Client": {"sdk": "PYTHON", "version": "1.1.10", "protocol": 17, "os": "Ubuntu", "osVersion": "24.4.0", "deviceModel": "AS -4124GO-NART+", "clientProtocol": 1, "capabilities": ["CAP_PACKET_TRAILER"]}, "Grants": {"Identity": "omni-worker", "Kind": "", "KindDetails": [], "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "omni-room", "CanPublish": true, "CanSubscribe": true, "CanPublishData": true, "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "CanManageAgentSession": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "Observability": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": false, "ID": "PA_wsxJ8PufS7cW", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "omni-room"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}}
2026-06-06T16:45:58.201Z	DEBUG	livekit	rtc/participant.go:1587	SetMigrateState	{"room": "omni-room", "roomID": "RM_rfAdT3WtDG6H", "participant": "omni-worker", "participantID": "PA_wsxJ8PufS7cW", "remote": false, "state": "MIGRATE_STATE_COMPLETE"}
