
> qwen3-omni-web@0.1.0 dev
> vite --host 0.0.0.0 --port 5173


  VITE v5.4.21  ready in 469 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://172.26.0.2:5173/
3:44:48 PM [vite] hmr update /src/App.tsx
3:45:33 PM [vite] hmr update /src/App.tsx
3:46:23 PM [vite] hmr update /src/App.tsx
3:52:58 PM [vite] hmr update /src/App.tsx
4:01:47 PM [vite] hmr update /src/App.tsx
4:34:17 PM [vite] hmr update /src/App.tsx
4:36:49 PM [vite] hmr update /src/App.tsx
4:37:48 PM [vite] hmr update /src/App.tsx
4:37:56 PM [vite] hmr update /src/App.tsx
4:40:16 PM [vite] hmr update /src/App.tsx
4:53:14 PM [vite] hmr update /src/App.tsx
5:06:46 PM [vite] hmr update /src/App.tsx
5:06:53 PM [vite] hmr update /src/App.tsx
5:34:51 PM [vite] hmr update /src/App.tsx
5:48:41 PM [vite] hmr update /src/App.tsx
5:58:05 PM [vite] hmr update /src/components/MetricsHud.tsx
5:58:11 PM [vite] hmr update /src/App.tsx
6:30:23 PM [vite] hmr update /src/App.tsx
6:35:22 PM [vite] hmr update /src/App.tsx
6:35:33 PM [vite] hmr update /src/App.tsx
6:39:21 PM [vite] hmr update /src/App.tsx
6:39:33 PM [vite] hmr update /src/App.tsx
6:39:50 PM [vite] hmr update /src/App.tsx
6:42:18 PM [vite] hmr update /src/App.tsx
6:52:25 PM [vite] hmr update /src/App.tsx
6:56:25 PM [vite] hmr update /src/App.tsx
7:10:39 PM [vite] hmr update /src/App.tsx
7:14:30 PM [vite] hmr update /src/App.tsx
7:14:37 PM [vite] hmr update /src/App.tsx
7:14:45 PM [vite] hmr update /src/App.tsx
7:14:55 PM [vite] hmr update /src/App.tsx
7:15:16 PM [vite] hmr update /src/App.tsx
